Col #,Column in export,What it is (ADP meaning),SQL source (database.schema.table.column),How it is derived,Notes / gotchas
1,Co Code,ADP company code - which payroll company the batch posts to,contacts.dbo.companysetup.ADPCompanyCode,Constant. companysetup is a single-row table joined with CROSS JOIN (ON 1=1),"Always 'new01'. Same value also sits unused on dev_aloha.dbo.gblstore.ADPCompanyCode"
2,Batch ID,ADP paydata batch number - groups the rows into one batch per restaurant,dev_aloha.dbo.gblstore.ADPBatchID,"Store lookup: gblstore.StoreId = restaurant's StoreID","nvarchar, not int. For the 28 company stores it equals the store number. 6 franchise stores have '0' (no Batch ID configured) - they only appear if you run for all stores"
3,File #,The employee's ADP file number (payroll ID),toast.dbo.employees.ExternalEmployeeId,"Employee lookup: hstShift.Employee = employees.GUID AND hstShift.Store = employees.StoreGUID","Set by HR inside Toast. Blank when unset - the row still exports but cannot post in ADP. This is also the only employee identifier in the file (no name column)"
4,Batch Description,Free-text label for the ADP batch,dev_aloha.dbo.gblstore.ADPBatchDescription,Same store lookup as Batch ID,"Cosmetic. Populated for only 41 of 95 stores and inconsistent ('Flowood', 'GPORT', 'NEW01', 'Corporate')"
5,Reg Hours,Regular (non-overtime) hours worked in the pay period,toast.dbo.hstShift.RegularHours,SUM over the employee's shifts at that job code and rate,Shifts with Deleted = 1 are excluded
6,OT Hours,Overtime hours worked in the pay period,toast.dbo.hstShift.OvertimeHOurs,SUM over the same grain as Reg Hours,"Column really is spelled OvertimeHOurs in SQL (capital O in Hours)"
7,Earnings 3 Code,ADP earnings code the tip dollars post under,Hard-coded literal 'tip01' in the proc,Constant string,"Same value is configured at contacts.dbo.companysetup.ADPTippedEarningsCode, but the proc does not read it"
8,Earnings 3 Amount,Tip-share dollars for these hours,"Computed: toast.dbo.hstPayment.TipAmount and toast.dbo.hstShift hours","(RegHours + OTHours) * store TipsPerHour, rounded to 2dp per shift-group then summed. TipsPerHour = store non-cash tips / store non-salary hours for the period","NOT the employee's own tips. It is a pooled redistribution: every non-salary employee at the store (dish, prep, expo included) earns the same dollars-per-hour. hstShift.NonCashTips exists but is ignored by this report"
9,Temp Dept,ADP temporary-department override - which job the hours were worked in,toast.dbo.JobCodeToastToAlohaMap.ExportID,"Join toast.dbo.JobCodes.Code = JobCodeToastToAlohaMap.ToastJC","Rows where ExportID = 'NOREPORT' are dropped from the export. Blank-ExportID map rows (ToastJC 0 = Admin/Accounting) never surface because those job codes are SALARY"
10,Temp Rate,Pay rate for these hours,toast.dbo.hstShift.HourlyWage,Grouping key - not aggregated,"A mid-period raise produces two rows for the same employee and job code, one per rate"
